Número de Incendio,Clave del incendio,Grados,Minutos,Segundos,Grados,Minutos,Segundos,Clave municipio,Estado,Municipio,Predio,Causa,Fecha Inicio,Fecha Termino,Mes Acontecimiento,Duración días,Tipo de incendio,Tipo Vegetacion,Tipo Impacto,Arbolado Adulto,Renuevo,Arbustivo,Herbaceo,Hojarasca,Suelo Organico,Total Hectareas,Tamaño,Deteccion,Llegada,Duracion HMS,Duracion H,Costos MXN,Superficie Salvada,CO2 emitido,CO2 Evito emitir,Region
381,17-21-0381,19,36,1,97,28,30.8,170,Puebla,Tepeyahualco,Tres Ocotes,INTENCIONAL,12/04/2017,13/04/2017,abril,2 a 3 Días,Superficial,Matorral Desértico Rosetófilo - MDR,IMPACTO MÍNIMO,0,0,295,30,0,0,325,Mayor a 100 Hectáreas,00:15:00,01:20:00,00:30:00,0.5,8500,4950.3,7256.21,110599.2,Centro
179,17-14-0179,20,14,19.11,103,50,29.09,88,Jalisco,Tecolotlán,Las Playas y El Ceboruco,ACTIVIDADES AGROPECUARIAS,05/04/2017,06/04/2017,abril,2 a 3 Días,Superficial,Bosque de Encino - BQ,IMPACTO MÍNIMO,0,2,4,10,58,0,74,51 a 100 Hectáreas,00:30:00,02:00:00,00:30:00,0.5,6324.8,1129.58,2331.43,35535.69,Occidente
356,17-16-0356,20,8,36.58,102,1,54.7,109,Michoacán,Zináparo,Pequeña Propiedad,ACTIVIDADES AGROPECUARIAS,04/04/2017,07/04/2017,abril,4 a 7 Días,Superficial,Selva baja caducifolia - SBC,IMPACTO MODERADO,0,0,56,44,20,0,120,Mayor a 100 Hectáreas,00:20:00,00:40:00,00:30:00,0.5,5770,1829.04,8496.51,129503.76,Occidente
239,17-14-0239,19,31,48.48,104,30,54.2,21,Jalisco,Casimiro Castillo,La Piedra de los Zopilotes,FUMADORES,14/04/2017,15/04/2017,abril,2 a 3 Días,Superficial,Selva mediana subcaducifolia - SMS,IMPACTO MÍNIMO,0,0,11,15,20,0,46,21 a 50 Hectáreas,00:30:00,16:00:00,00:30:00,0.5,4620,705.55,1337.7,20389.19,Occidente
427,17-21-0427,20,9,18.3,98,2,23.2,71,Puebla,Huauchinango,Huauchinango,INTENCIONAL,25/04/2017,25/04/2017,abril,1 Día,Superficial,Bosque Mesófilo - BM,IMPACTO MÍNIMO,0,0,4,0,0,0,4,0 a 5 Hectáreas,00:10:00,00:35:00,00:30:00,0.5,3750,60.21,158.08,2409.46,Centro
835,17-15-0835,19,49,44.73,99,43,7.06,56,México,Morelos,Comunal San Marcos Tlazalpan,ACTIVIDADES AGROPECUARIAS,04/04/2017,04/04/2017,abril,1 Día,Superficial,Bosque de Encino - BQ,IMPACTO MÍNIMO,0,0,1,0,0,0,1,0 a 5 Hectáreas,00:05:00,00:10:00,00:30:00,0.5,3115,15.24,31.46,479.5,Centro
333,17-29-0333,19,16,25.7,97,59,2.3,13,Tlaxcala,Huamantla,San Luis,INTENCIONAL,15/04/2017,15/04/2017,abril,1 Día,Superficial,Bosque de Pino - BP,IMPACTO MÍNIMO,0,0,0,1,0,0,1,0 a 5 Hectáreas,00:05:00,00:05:00,00:30:00,0.5,1707.05,7.62,26.62,405.71,Centro
1113,17-15-1113,19,34,0.56,100,9,56.69,124,México,San José del Rincón,Ejido Trampa Grande,ACTIVIDADES AGROPECUARIAS,24/04/2017,24/04/2017,abril,1 Día,Superficial,Bosque de Oyamel - BA,IMPACTO MÍNIMO,0,0,2,0,0,0,2,0 a 5 Hectáreas,00:05:00,00:05:00,00:35:00,0.58,10708,22.86,108.99,1661.25,Centro
160,17-12-0160,17,37,27.43,99,43,29.56,40,Guerrero,Leonardo Bravo,Iyotla,ACTIVIDADES AGROPECUARIAS,18/04/2017,19/04/2017,abril,2 a 3 Días,Superficial,Bosque de Pino - BP,IMPACTO MÍNIMO,0,2,9,12,7,0,30,21 a 50 Hectáreas,01:35:00,01:25:00,00:35:00,0.58,6405.6,454.21,1586.44,24180.49,Centro
900,17-15-0900,19,31,53.7,100,10,50.8,124,México,San José del Rincón,Ejido San Juan Palo Seco,FOGATAS,07/04/2017,07/04/2017,abril,1 Día,Superficial,Bosque de Oyamel - BA,IMPACTO MÍNIMO,0,0,1,0,0,0,1,0 a 5 Hectáreas,00:05:00,00:30:00,00:35:00,0.58,3973,7.62,36.33,553.75,Centro
